uid,issue_type,row_position,column,aligned_value,db_test_value,aligned_normalized,db_test_normalized
f47b5e65-7ad6-43f7-9b26-a8065260e8ff,different_values,1,date_1,2025-03-24,2025-03-24 00:00:00,2025-03-24,2025-03-24 00:00:00
f47b5e65-7ad6-43f7-9b26-a8065260e8ff,different_values,1,department/state,,Tuscany,,tuscany
217e46be-2ff5-4b51-b154-1f7a86e81a1a,different_values,2,date_1,2025-03-23,2025-03-23 00:00:00,2025-03-23,2025-03-23 00:00:00
217e46be-2ff5-4b51-b154-1f7a86e81a1a,different_values,2,department/state,,National District,,national district
da1ba245-dfd9-457c-9ada-46cd8e98a6d4,different_values,3,date_1,2025-03-22,2025-03-22 00:00:00,2025-03-22,2025-03-22 00:00:00
52362bc0-0505-4e23-b9a9-fb17bc96bdb7,different_values,4,date_1,2025-03-22,2025-03-22 00:00:00,2025-03-22,2025-03-22 00:00:00
4dd2aea3-7f12-4841-a62b-8f72a15c7b40,different_values,5,date_1,2025-03-19,2025-03-19 00:00:00,2025-03-19,2025-03-19 00:00:00
cdb90f5a-c155-48e1-bc8d-64ed74c0feb8,different_values,6,date_1,2025-03-25,2025-03-25 00:00:00,2025-03-25,2025-03-25 00:00:00
1c7b523b-7b9f-4e5f-b11b-e09a06ca7190,different_values,7,date_1,2025-03-23,2025-03-23 00:00:00,2025-03-23,2025-03-23 00:00:00
1fb3bed3-f4d9-471e-98c3-c498ee243f35,different_values,8,date_1,2025-03-19,2025-03-19 00:00:00,2025-03-19,2025-03-19 00:00:00
1fb3bed3-f4d9-471e-98c3-c498ee243f35,different_values,8,municipality/port,,Montreal,,montreal
810f6d37-ac1d-435b-9b35-539dbe822912,different_values,9,date_1,2025-03-25,2025-03-25 00:00:00,2025-03-25,2025-03-25 00:00:00
31fe18b8-3302-49dd-91d2-d704a2bd4fa7,different_values,10,date_1,2025-03-25,2025-03-25 00:00:00,2025-03-25,2025-03-25 00:00:00
ced7c9c7-ec63-497b-91f3-9f2b90a79def,different_values,11,date_1,2025-03-24,2025-03-24 00:00:00,2025-03-24,2025-03-24 00:00:00
ced7c9c7-ec63-497b-91f3-9f2b90a79def,different_values,11,municipality/port,,San Juan,,san juan
09963cda-80c4-4e97-ba63-23a8a0e4af90,different_values,12,date_1,2025-03-26,2025-03-26 00:00:00,2025-03-26,2025-03-26 00:00:00
09963cda-80c4-4e97-ba63-23a8a0e4af90,different_values,12,department/state,Dublin,Leinster,dublin,leinster
09963cda-80c4-4e97-ba63-23a8a0e4af90,different_values,12,municipality/port,,Dublin,,dublin
83e980c5-2c2e-4769-ade3-a6a296d25ec1,different_values,13,date_1,2025-03-25,2025-03-25 00:00:00,2025-03-25,2025-03-25 00:00:00
83e980c5-2c2e-4769-ade3-a6a296d25ec1,different_values,13,department/state,Burgas port,Burgas,burgas port,burgas
83e980c5-2c2e-4769-ade3-a6a296d25ec1,different_values,13,municipality/port,,Burgas,,burgas
96a95f12-c17d-4539-be4c-6e44dd94a23d,different_values,14,date_1,2025-03-26,2025-03-26 00:00:00,2025-03-26,2025-03-26 00:00:00
96a95f12-c17d-4539-be4c-6e44dd94a23d,different_values,14,department/state,920 nautical miles southwest of la Bocana El Cordoncillo,El Cordoncillo,920 nautical miles southwest of la bocana el cordoncillo,el cordoncillo
6d5559e7-6804-439c-8e58-b99e6d80f3c8,different_values,15,date_1,2025-03-25,2025-03-25 00:00:00,2025-03-25,2025-03-25 00:00:00
542c71b2-ba70-4dac-ab45-0f3f60e1a3ec,different_values,16,date_1,2025-03-26,2025-03-26 00:00:00,2025-03-26,2025-03-26 00:00:00
c09fa93b-ed8d-4294-a854-48751062ad15,different_values,17,date_1,2025-03-25,2025-03-25 00:00:00,2025-03-25,2025-03-25 00:00:00
ea58cea8-8212-4d53-a10e-b8f7a65c54c6,different_values,18,date_1,2025-03-27,2025-03-27 00:00:00,2025-03-27,2025-03-27 00:00:00
953564ff-1140-40f3-ac38-32c0f6eee651,different_values,19,date_1,2025-03-20,2025-03-20 00:00:00,2025-03-20,2025-03-20 00:00:00
38798459-3e16-43de-a9e0-f490f1b18f23,different_values,20,date_1,2025-03-10,2025-03-10 00:00:00,2025-03-10,2025-03-10 00:00:00
38798459-3e16-43de-a9e0-f490f1b18f23,different_values,20,date_2,2025-03-20,2025-03-20 00:00:00,2025-03-20,2025-03-20 00:00:00
38798459-3e16-43de-a9e0-f490f1b18f23,different_values,20,municipality/port,,San Juan,,san juan
7f797559-c3e9-4738-aa2e-cd4c944649c3,different_values,21,date_1,2025-03-21,2025-03-21 00:00:00,2025-03-21,2025-03-21 00:00:00
7e351d70-1fd9-4759-b109-11af9fc1c054,different_values,22,date_1,2025-03-24,2025-03-24 00:00:00,2025-03-24,2025-03-24 00:00:00
7e351d70-1fd9-4759-b109-11af9fc1c054,different_values,22,department/state,,Leoncio Prado,,leoncio prado
65980956-f832-4dce-a472-77438474685d,different_values,23,date_1,2025-03-27,2025-03-27 00:00:00,2025-03-27,2025-03-27 00:00:00
65980956-f832-4dce-a472-77438474685d,different_values,23,department/state,,"Madrid, Andaluzia, Catalunia",,madrid andaluzia catalunia
65980956-f832-4dce-a472-77438474685d,different_values,23,municipality/port,"Madrid, Marbella and Barcelona)","Madrid, Marbella and Barcelona",madrid marbella and barcelona),madrid marbella and barcelona
43d35a82-eab8-44e4-8645-030d6b303b81,different_values,24,date_1,2025-03-26,2025-03-26 00:00:00,2025-03-26,2025-03-26 00:00:00
c3a20ff2-f777-46a6-a66d-c1905bd3bf82,different_values,25,date_1,2025-03-22,2025-03-22 00:00:00,2025-03-22,2025-03-22 00:00:00
c3a20ff2-f777-46a6-a66d-c1905bd3bf82,different_values,25,department/state,Arica,"Arica, Iquique",arica,arica iquique
c3a20ff2-f777-46a6-a66d-c1905bd3bf82,different_values,25,municipality/port,,"Arica, Iquique",,arica iquique
8bbfc184-4771-494a-b94c-0ab992ba55ab,different_values,26,date_1,2025-03-24,2025-03-24 00:00:00,2025-03-24,2025-03-24 00:00:00
75d333ec-c57c-4332-aa0b-dbd27d4e0bc5,different_values,27,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
138dbf96-c590-49ef-8fb7-be2ee9fb5dab,different_values,28,date_1,2025-03-29,2025-03-29 00:00:00,2025-03-29,2025-03-29 00:00:00
138dbf96-c590-49ef-8fb7-be2ee9fb5dab,different_values,28,department/state,,Rio de Janeiro,,rio de janeiro
12666b22-9364-42a7-a111-d810f8f0fb4b,different_values,29,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
