destination_1_country,total_kg,events,avg_kg,median_kg
United States,43202.3152,30,1440.0771733333333,196.525
Spain,23429.9,35,669.4257142857143,80.0
Belgium,17048.277,24,710.3448749999999,410.34000000000003
The Netherlands,14041.2,3,4680.400000000001,36.0
Netherlands,13273.0,18,737.3888888888889,338.5
Germany,9299.02,11,845.3654545454546,500.0
France,6766.266,16,422.891625,27.0
Mexico,5851.5,5,1170.3,1300.0
United Kingdom,5281.0,8,660.125,689.5
India,3619.0,2,1809.5,1809.5
Brazil,3327.766,18,184.87588888888888,74.398
China,2600.0,2,1300.0,1300.0
Italy,2572.712,12,214.39266666666666,69.5
Portugal,2487.0,7,355.2857142857143,206.0
Hungary,2200.0,1,2200.0,2200.0
Poland,1702.0,2,851.0,851.0
Russia,1515.0,1,1515.0,1515.0
Colombia,1035.0,3,345.0,33.0
Australia,707.59,5,141.518,43.69
South Korea,600.0,1,600.0,600.0
Lithuania,598.0,1,598.0,598.0
Turkey,554.0,1,554.0,554.0
Puerto Rico,524.0,1,524.0,524.0
Greece,365.15,4,91.2875,46.5
Peru,334.803,2,167.4015,167.4015
Canada,247.0,3,82.33333333333333,53.0
Bulgaria,205.94,1,205.94,205.94
Chile,154.9,3,51.63333333333333,59.0
Argentina,136.2798,13,10.483061538461538,1.235
Guatemala,134.0,1,134.0,134.0
Cape Verde,132.0,1,132.0,132.0
South Africa,113.5,2,56.75,56.75
Sweden,112.6,1,112.6,112.6
Morocco,64.7,3,21.566666666666666,12.0
Angola,53.0,1,53.0,53.0
Dominican Republic,36.0,1,36.0,36.0
Singapore,26.9,1,26.9,26.9
Thailand,7.4,1,7.4,7.4
Switzerland,5.5,1,5.5,5.5
Lebanon,3.4,1,3.4,3.4
Austria,3.35,1,3.35,3.35
Qatar,3.0,1,3.0,3.0
Hong Kong,3.0,1,3.0,3.0
Cuba,1.76,1,1.76,1.76
Saudi Arabia,1.6,1,1.6,1.6
Indonesia,1.4,1,1.4,1.4
