event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,weight_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,archived_link,project_interested,uid
Seizure,Individual,2025-04-12,,2025,4,12,,Cocaine,1.0,Kilogram,Land,,South America,Brazil,São Paulo,Assis,,,,,,,,,,,,,Brazil,Sao Paulo,Sao Paulo,,,"Un hombre fue detenido este viernes (11) tras ingerir más de 40 cápsulas de cocaína, en Assis (SP) . Según la Policía de Carreteras, el incidente se registró cuando equipos abordaron un autobús turístico proveniente de Corumbá (MS) con destino a São Paulo (SP) en el km 445 de la carretera Raposo Tavares (SP-270).",,,,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/12/homem-e-preso-apos-ingerir-capsulas-de-cocaina-no-interior-de-sp.ghtml,Archived Link - Brazil,MAD,07453469-1352-4b62-8f61-8a8ac5c36b0d
Seizure,Individual,2025-06-03,,2025,6,3,,Cocaine Base,1.0,Kilogram,Land,,South America,Brazil,Bahia,Feira de Santana,,,,,,,,,,,,,,,,,,"On June 3, 2025, on BR‑116 at km 429 near Feira de Santana (Bahia, Brazil), the Federal Highway Police and Bahia’s Civil Police stopped a passenger vehicle and found 1 kilogram of cocaine paste among a total 132 kg of drug",,,,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2025/06/03/pessoas-sao-presas-em-flagrante-com-drogas-e-fuzil.ghtml,Archived Link - Brazil,,eb23b7e8-6941-44ed-86b0-466bb4d31a75
Seizure,Individual,2025-07-28,,2025,7,28,,Cocaine,1.0,Kilogram,Land,,South America,Brazil,Minas Gerais,Arinos,,,,,,,,,,,,,,,,,,A 25-year-old woman arrested during Operation Contenção. attempted to hide a kilo of cocaine under the rear seat of a taxi using her feet. She claimed ignorance of the drugs and refused to name anyone else involved.,,,,https://g1.globo.com/mg/grande-minas/noticia/2025/07/28/mulher-tenta-esconder-sacola-com-cocaina-usando-os-pes-apos-taxi-que-ela-estava-ser-parado-em-blitz.ghtml,Archived Link - Brazil,,c8789760-7be2-47af-bf64-57dc500bfd87
Seizure,Individual,2025-05-22,,2025,5,22,,Cocaine,1.7,Kilogram,Land,post office,Asia,Indonesia,Bali,Badung Regency,,,,,,,,,,,,,,,,,,"Australian man was. arrested after allegedly being in possession of 1.7kg of drugs in Bali, Indonesia",,,,https://www.theguardian.com/world/2025/may/26/australian-accused-smuggling-cocaine-bali-death-penalty-life-jail-ntwnfb,Archived Link - Indonesia,,4aa4db72-3bfb-4665-913e-a1779af8daed
Seizure,Individual,2025-05-22,,2025,5,22,,Cocaine,1.7,Kilogram,Land,Got to indonesia by post,Asia,Indonesia,Bali,Kuta Beach,,,,Europe,United Kingdom,,,,,,,,,,,,,"un australiano de 43 años fue arrestado en Bali tras recibir un envío postal con 1,7 kg de cocaína distribuida en 206 bolsas plásticas. La droga fue enviada desde el Reino Unido ",,,,https://www.euronews.com/2025/05/29/police-in-indonesia-arrest-australian-man-for-allegedly-smuggling-cocaine-into-bali,Archived Link - Indonesia,,12304f78-ef04-4359-b89f-f4850bacdfc7
Seizure,Individual,2025-04-17,,2025,4,17,,Cocaine,2.0,Kilogram,Land,,Europe,Italy,Padua,,,,,,,,,,,,,,,,,,,"Un italo-albanés fue capturado en la región de Padua, en Italia, y en su carro se hallaron 2 kilos de cocaína. Estaba vinculado a un ciudadano albanés que fue capturado con 35 bloques de cocaína.",,,,https://www.polesine24.it/veneto/2025/04/20/news/colpo-grosso-agli-spacciatori-sequestrata-droga-per-7-milioni-di-euro-341310/,Archived Link - Italy,El PACCTO 2.0,57166336-e823-45c5-9660-b78474d24559
Seizure,Individual,2025-05-19,,2025,5,19,,Cocaine,2.0,Kilogram,Land,,Europe,Italy,Sicilia,Catania,,,,,,,,,,,,,,,,,,Un hombre fue capturado con 2 kilos de cocaína a bordo de un vehículo en Catania. ,,,,https://www.freepressonline.it/2025/05/19/catania-arrestato-con-2-kg-di-cocaina-sequestrata-droga/,Archived Link - Italy,,92ac4844-0d7b-41e3-85fd-e82995df6852
Seizure,Individual,2025-06-02,,2025,6,2,,Cocaine,2.0,Kilogram,Land,,Europe,Italy,Rome,San Gregorio da Sassola,,,,,,,,,,,,,,,,,,"El 2 de junio de 2025, la Guardia di Finanza italiana arrestó a dos hombres. gi, durante una operación antidrogas en San Gregorio da Sassola, cerca de Roma. Se les incautaron aproximadamente 200 kilogramos de hachís y cerca de 2 kilogramos de cocaína.",,,,https://www.rainews.it/tgr/lazio/articoli/2025/06/maxi-sequestro-di-hashish-e-cocaina-arrestati-due-uomini-di-anagni-8a574848-10c9-4650-abdd-587f09915246.html,Archived Link - Italy,,df87ada6-b004-4a94-81aa-d0b271393cce
Seizure,Individual,2025-07-29,,2025,7,29,,Cocaine,2.0,Kilogram,Land,,Europe,Italy,Emilia-Romagna,Pontenure,,,,,,,,,,,,,,,,,,"Italian police seized approximately 2 kilograms of cocaine on July 29 in a rural drug lab near Pontenure, Piacenza, where three Albanian nationals were preparing the cocaine for resale. ",,,,https://www.piacenzasera.it/2025/08/scoperto-il-laboratorio-della-droga-a-pontenure-tre-arresti-e-due-chili-di-coca-sequestrati/604828/,Archived Link - Italy,,b2138d7f-0450-4410-9f85-8e4142be836b
Seizure,Individual,2025-09-23,,2025,9,23,,Cocaine,2.0,Kilogram,Land,,Europe,Italy, Marche, Caldarola,,,,,,,,,,,,Europe,Italy, Marche, Caldarola,,," un hombre de 58 años fue arrestado en Caldarola, Italia, por poseer 2 kg de cocaína ocultos en su mochila mientras iba en bicicleta. ",,,,https://www.cronacheancona.it/2025/09/24/in-bici-con-due-chili-di-cocaina-arrestato-un-58enne/570697/,Archived Link - Italy,,887e7815-ca68-4b11-bffe-45acf2880553
Seizure,Individual,2025-08-13,,2025,8,13,,All/Unspecified/Multiple,2.5,Kilogram,Land,Concealed in suitcase of bus passenger,South America,Chile,Bío Bío,Cabrero,Colombia,,,,,,,,,,,,,,,,,Carabineros OS7 seized 2.5 kg of cocaine HCl and base paste hidden in bus luggage at Cabrero,,,,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2025/08/14/detienen-a-extranjero-que-transportaba-en-bus-2-kilos-y-medio-de-cocaina-y-pasta-base-en-cabrero.shtml,Archived Link - Chile,,e5bf3209-cc96-449a-b0b5-a356b3faac07
