event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,weight_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,archived_link,project_interested,uid,seizure_kg,conversion_factor
Seizure,Individual,2025-05-22,,2025,5,22,,Cocaine,1.7,Kilogram,Land,post office,Asia,Indonesia,Bali,Badung Regency,,,,,,,,,,,,,,,,,,"Australian man was. arrested after allegedly being in possession of 1.7kg of drugs in Bali, Indonesia",,,,https://www.theguardian.com/world/2025/may/26/australian-accused-smuggling-cocaine-bali-death-penalty-life-jail-ntwnfb,Archived Link - Indonesia,,2cd1cee0-6b8e-4bdf-807a-4ccd17d87aa5,1.7,1.0
Seizure,Individual,2025-05-22,,2025,5,22,,Cocaine,1.7,Kilogram,Land,Got to indonesia by post,Asia,Indonesia,Bali,Kuta Beach,,,,Europe,United Kingdom,,,,,,,,,,,,,"un australiano de 43 años fue arrestado en Bali tras recibir un envío postal con 1,7 kg de cocaína distribuida en 206 bolsas plásticas. La droga fue enviada desde el Reino Unido ",,,,https://www.euronews.com/2025/05/29/police-in-indonesia-arrest-australian-man-for-allegedly-smuggling-cocaine-into-bali,Archived Link - Indonesia,,acc92488-7ef9-4716-b470-3ec9cab70b75,1.7,1.0
Seizure,Individual,2025-08-13,,2025,8,13,,All/Unspecified/Multiple,2.5,Kilogram,Land,Concealed in suitcase of bus passenger,South America,Chile,Bío Bío,Cabrero,Colombia,,,,,,,,,,,,,,,,,Carabineros OS7 seized 2.5 kg of cocaine HCl and base paste hidden in bus luggage at Cabrero,,,,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2025/08/14/detienen-a-extranjero-que-transportaba-en-bus-2-kilos-y-medio-de-cocaina-y-pasta-base-en-cabrero.shtml,Archived Link - Chile,,f10f6017-0d56-42c1-81bd-224e6e6b05e6,2.5,1.0
Seizure,Individual,2025-08-14,,2025,8,14,,Other (explain in Description),2.5,Kilogram,Land,"Hidden in suitcase, detected via sniffer dog",South America,Chile,Bío Bío Region,Cabrero,,,,South America,Chile,Bío Bío Region,Cabrero,,,,,,,,,,,"A Colombian national, in irregular status, was arrested at a roadside control on Route 5 Sur in Cabrero, Bío Bío Region, carrying 2.5 kg of cocaine (hydrochloride and base paste) in his luggage, detected by OS‑7 sniffer dogs.",,,,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2025/08/14/detienen-a-extranjero-que-transportaba-en-bus-2-kilos-y-medio-de-cocaina-y-pasta-base-en-cabrero.shtml,Archived Link - Chile,,ee1d1c7f-6e3d-47b1-836c-2942d00531ab,2.5,1.0
Seizure,Individual,2025-09-29,,2025,9,29,,Cocaine,9.0,Other (explain in Description),Air,Hammocks impregnated with cocaine,Caribbean,Dominican Republic,Santo Domingo,Santo Domingo Este (AILA),Dominican Republic,Santo Domingo Este,,,,,,Europe,Spain,,,,,,Europe,Netherlands,,Authorities intercepted 9 hammocks impregnated with cocaine at AILA; destined for Spain and Netherlands.,,,,https://elnuevodiario.com.do/video-dncd-frustra-envio-de-hamacas-de-tela-impregnadas-con-presunta-cocaina/ ,Archived Link - Dominican Republic,,9df5228b-b362-4cc6-b939-70f2c9fddf3a,9.0,1.0
Seizure,Individual,2025-09-29,,2025,9,29,,Cocaine,9.0,Other (explain in Description),Air,Hammocks impregnated with cocaine,Caribbean,Dominican Republic,Santo Domingo,Santo Domingo Este (AILA),,,,,,,,Europe,Spain,,,,,,Europe,Netherlands,,Authorities intercepted 9 hammocks impregnated with cocaine at AILA; destined for Spain and Netherlands.,,,,https://elnuevodiario.com.do/video-dncd-frustra-envio-de-hamacas-de-tela-impregnadas-con-presunta-cocaina/ ,Archived Link - Dominican Republic,,dc9c55bb-d38b-4098-a055-cc670a1215b9,9.0,1.0
Seizure,Individual,2025-07-20,,2025,7,20,,Cocaine,25.0,Kilogram,Container,inside refrigeration,Africa,Morocco,Tanger‑Tétouan-Al Hoceima,Tanger Med Port,,,,South America,,,,Europe,Netherlands,,,,,,,,,Single seizure of 25 kg raw cocaine hidden in 23 bricks in a refrigerated container from South America to Netherlands; investigation opened by Tanger judicial police under DGSN; no info on origin groups,,,,"https://www.barlamane.com/fr/une-cargaison-de-25-kilogrammes-de-cocaine-brute-saisie-au-port-de-tanger-med/ (afropages.fr, barlamane.com)",Archived Link - Morocco,,647e16a5-3bef-4d62-9c3b-dd7ab563f7ea,25.0,1.0
Seizure,Individual,2025-07-21,,2025,7,21,,Cocaine,25.0,Kilogram,Container,Hidden in cooling unit,Africa,Morocco,Tangier,Tangier Med,,,,,,,,,,,,Europe,Netherlands,,,,,25 kg of cocaine hidden in cooling system of container seized at Tangier Med port en route to NL.,,,,https://www.crimesite.nl/cocaine-op-weg-naar-nederland-gepakt-in-marokko/,Archived Link - Morocco,,75ddc10e-74c6-43c3-a41b-5b7aa74aeed4,25.0,1.0
Seizure,Individual,2025-09-17,,2025,9,17,,Cocaine Base,30.0,Package,Land,Hidden in bus luggage (3 suitcases),South America,Bolivia,Oruro/Potosí route,,,,,,,,,,,,,,,,,,,FELCN seized 30 packages of cocaine base hidden in suitcases on a bus traveling Oruro–Potosí.,,,,https://www.opinion.com.bo/articulo/policial/encuentran-30-paquetes-droga-bus-que-transitaba-carretera-oruro-potosi/20250918204957980220.html,Archived Link - Bolivia,,23785dae-ff5c-4d77-ac09-0b79ddb852fc,30.0,1.0
Seizure,Individual,2025-09-18,,2025,9,18,,Cocaine Base,30.0,Package,Land,Bus interdepartamental en carretera Oruro‑Potosí,South America,Bolivia,,,,,,,,,,,,,,,,,,,,Hallan 30 paquetes de pasta base de cocaína en maletas dentro de un bus de transporte interdepartamental en la carretera entre Oruro y Potosí.,,,,https://www.opinion.com.bo/articulo/policial/encuentran-30-paquetes-droga-bus-que-transitaba-carretera-oruro-potosi/20250918204957980220.html,Archived Link - Bolivia,,ff08c084-1e4e-494a-be33-7988147f1a65,30.0,1.0
Seizure,Individual,2025-09-29,,2025,9,29,,Cocaine,70.0,Kilogram,Land,Cocaine hidden in bags; Praia da Redinha beach,South America,Brazil,Rio Grande do Norte,Natal (Praia da Redinha),,,,,,,,,,,,,,,,,,"70 kg of cocaine seized on beach in Natal, Brazil.",,,,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2025/09/29/cocaina-apreendida-na-redinha.ghtml,Archived Link - Brazil,,59f73833-5128-43ac-b54c-100b4e5ab144,70.0,1.0
Seizure,Individual,2025-09-29,,2025,9,29,,Cocaine,70.0,Kilogram,Land,Cocaine hidden in bags; Praia da Redinha beach,South America,Brazil,Rio Grande do Norte,Natal (Praia da Redinha),,,,,,,,,,,,,,,,,,"70 kg of cocaine seized on beach in Natal, Brazil.",,,,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2025/09/29/cocaina-apreendida-na-redinha.ghtml,Archived Link - Brazil,,bbcb66c3-0d9e-4be1-ba64-1424959ef24b,70.0,1.0
Seizure,Individual,2025-10-01,,2025,10,1,,Cocaine,99.0,Kilogram,Land,Hidden in furgón with modified compartments,South America,Colombia,Huila,La Plata,,Cauca,,,,,,,,,,,,,,,,Army intercepted 99 kg of cocaine in a furgón with hidden compartments in Huila.,,,,https://www.wradio.com.co/2025/10/01/ejercito-incauta-99-kilos-de-clorhidrato-de-cocaina-en-carreteras-del-huila/ ,Archived Link - Colombia,,066ab5d2-869d-4652-8c4a-47b544540d12,99.0,1.0
Seizure,Individual,2025-10-01,,2025,10,1,,Cocaine,99.0,Kilogram,Land,Hidden in furgón with special compartments,South America,Colombia,Huila,La Plata,,Cauca,,,,,,,,,,,,,,,,"Nearly 99 kg of cocaine seized on Huila roads, hidden in a van from Cauca.",,,,https://www.bluradio.com/nacion/incautan-casi-100-kilos-de-cocaina-en-carreteras-del-huila-iban-escondidos-en-un-furgon-rg10 ,Archived Link - Colombia,,3ca54716-067f-48bc-868a-ffe2c758d47c,99.0,1.0
Seizure,Individual,2025-08-13,,2025,8,13,,Cocaine,109.0,Kilogram,Land,Hidden within boxes inside fabric softener shipment,North America,United States,New York,"Peace Bridge Port of Entry, Buffalo",,,,North America,United States,New York,"Peace Bridge Port of Entry, Buffalo",,,,,,,,,,,"Canadian‑resident Vishavpal Singh stopped at Peace Bridge, found with 109 kg cocaine hidden among fabric softener",,,,https://www.justice.gov/usao-wdny/pr/canadian-resident-arrested-border-109-kilograms-cocaine,Archived Link - United States,,6ead1d19-9652-4e3e-a652-2fb7aec6c1cb,109.0,1.0
Seizure,Individual,2025-08-14,,2025,8,14,,Cocaine,109.0,Kilogram,Land,Hidden in boxes among large shipment of fabric softener in tractor trailer,North America,United States,New York ,Buffalo (Peace Bridge),,,,North America,Canada,,,,,,,,United States,,,,,"Canadian resident of Indian nationality arrested transporting 109 kg cocaine in commercial tractor at the Peace Bridge Port of Entry, Buffalo. Cocaine hidden in boxes co-mingled with shipment of fabric softener. ",,,,https://www.justice.gov/usao-wdny/pr/canadian-resident-arrested-border-109-kilograms-cocaine,Archived Link - United States,,a0b14a9b-d22c-4acc-8843-5fa8c509fdf2,109.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,120.0,Kilogram,Maritime,"Lancha intercepted, crew killed",Caribbean,Dominican Republic,Unclear,,,,,,,,,,,,,,,,,,,Authorities destroyed lancha carrying cocaine in Dominican waters; crew died.,,,,https://elnuevodiario.com.do/la-destruccion-de-una-lancha-del-narcotrafico-con-la-muerte-de-sus-ocupantes-fue-un-asesinato-que-debe-ser-investigado/,Archived Link - Dominican Republic,,adf0be12-784c-417f-86fe-0f382d9e2bcf,120.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,120.0,Kilogram,Maritime,"Lancha intercepted, crew killed",Caribbean,Dominican Republic,Unclear,,,,,,,,,,,,,,,,,,,Authorities destroyed lancha carrying cocaine in Dominican waters; crew died.,,,,https://elnuevodiario.com.do/la-destruccion-de-una-lancha-del-narcotrafico-con-la-muerte-de-sus-ocupantes-fue-un-asesinato-que-debe-ser-investigado/,Archived Link - Dominican Republic,,d9bab782-1986-4e78-8d4c-3ffbcea6e683,120.0,1.0
Seizure,Individual,2025-08-30,,2025,8,30,,Cocaine,120.0,Package,Container,"Found inside banana shipment container at Caucedo port, Dominican Republic",Caribbean,Dominican Republic,Santo Domingo Province,Boca Chica (Puerto Caucedo),,,,Caribbean,Dominican Republic,Santo Domingo,Boca Chica,,,,,Europe,United Kingdom,,London,,,"Otro cargamento de 120 paquetes de cocaína  fue decomisado ayer por las autoridades en el Puerto Multimodal Caucedo, del municipio de Boca Chica, provincia Santo Domingo. Las unidades operativas de la Dirección Nacional de Control de Drogas (DNCD), inspectores de la Dirección General de Aduanas (DGA) y la Seguridad Militar y el Ministerio Público, montaron un operativo de verificación, en decenas de contenedores, cuando a través de una de las máquinas de rayos X, se observaron imágenes sospechosas en el interior de uno de ellos, procediendo de inmediato a realizar el protocolo de actuación. Según el manifiesto, la carga de bananos, contaminada con la presunta droga, sería enviada desde el puerto de Caucedo a Londres, Inglaterra.",,,,https://elnacional.com.do/ocupan-alijo-de-120-paquetes-de-cocaina/,Archived Link - Dominican Republic,,20e2e949-e5cc-445b-92ce-7f61b06efaef,120.0,1.0
Seizure,Individual,2025-08-30,,2025,8,30,,Cocaine,120.0,Package,Maritime,"Seized at sea, Dominican Navy interception.",Caribbean,Dominican Republic,,,,,,,,,,,,,,,,,,,,Dominican Navy seized 120 packages of cocaine in Caribbean waters.,,,,https://elnacional.com.do/ocupan-alijo-de-120-paquetes-de-cocaina/,Archived Link - Dominican Republic,,7be20b4e-f3c6-4481-9479-3925f0b985c9,120.0,1.0
Seizure,Individual,2025-07-23,,2025,7,23,,Cocaine,197.0,Kilogram,Land,Truck crossing border,North America,Canada,Ontario,Point Edward,,,,North America,United States,,,,,,,,,,,,,197 Kilogram of cocaine seized from truck at Blue Water Bridge crossing.,,,,https://www.canada.ca/en/border-services-agency/news/2025/08/cbsa-seizes-197-kg-of-cocaine-at-the-blue-water-bridge.html,Archived Link - Canada,,581ccbf4-bd46-4eed-b2f2-3b7ab267a973,197.0,1.0
